AD7CNTP	
ALPQTL2	
ANON1	
BCC1	
BMND3	
CMM	Autosomal dominant
MLM	Autosomal dominant
DNS	Autosomal dominant
CTRCT8	Autosomal dominant
CCV	Autosomal dominant
DEL1p36	Isolated cases
C1DELp36	Isolated cases
DYX8	Multifactorial; Autosomal dominant
ERPL1	
HLM2	
IBD7	
MS4	
MYP14	
PSORS7	
PTPRZ2	
SAI1	
MTS1	
TFS1	
SCAR4	Autosomal recessive
SCASI	Autosomal recessive
SAMD11	
MRS	
NOC2L	
NIR	
PERM1	
C1orf170	
HES4	
ISG15	Autosomal recessive
G1P2	Autosomal recessive
IFI15	Autosomal recessive
IMD38	Autosomal recessive
AGRN	Autosomal recessive
CMS8	Autosomal recessive
MIR200B	
MIRN200B	
MIR200A	
MIRN200A	
MIR429	
MIRN429	
TNFRSF18	
AITR	
GITR	
TNFRSF4	
TXGP1L	
OX40	
ACT35	
IMD16	
SDF4	
CAB45	
B3GALT6	Autosomal recessive
SEMDJL1	Autosomal recessive
EDSP2	Autosomal recessive
B3GALT6	Autosomal recessive
SEMDJL1	Autosomal recessive
EDSP2	Autosomal recessive
FAM132A	
C1QDC2	
C1QTNF12	
SCNN1D	
CPSF3L	
INTS11	
RC68	
GLTPD1	
CPTP	
TAS1R3	
T1R3	
DVL1	Autosomal dominant
DRS2	Autosomal dominant
AURKAIP1	
AKIP	
AIP	
CCNL2	
MRPL20	
VWA1	
WARP	
ATAD3B	
TOB3	
KIAA1273	
ATAD3A	
TMEM240	Autosomal dominant
C1orf70	Autosomal dominant
SCA21	Autosomal dominant
MIB2	
MMP23B	
MMP22	
CDK11B	
CDC2L1	
P58	
CDK11	
MMP23A	
MMP21	
MIFR	
CDK11A	
CDC2L2	
NADK	
GNB1	
CALML6	
CAGLP	
GABRD	Autosomal dominant
GEFSP5	Autosomal dominant
EIG10	Autosomal dominant
EJM7	Autosomal dominant
GABRD	Autosomal dominant
GEFSP5	Autosomal dominant
EIG10	Autosomal dominant
EJM7	Autosomal dominant
GABRD	Autosomal dominant
GEFSP5	Autosomal dominant
EIG10	Autosomal dominant
EJM7	Autosomal dominant
PRKCZ	
PKC2	
C1orf86	
FAAP20	
SKI	Autosomal dominant
SGS	Autosomal dominant
DYT13	Autosomal dominant
KONDS	Autosomal recessive
PEX10	
NALD	
PBD6A	
PBD6B	
PEX10	Autosomal recessive
NALD	Autosomal recessive
PBD6A	Autosomal recessive
PBD6B	Autosomal recessive
PLCH2	
PLCL4	
PANK4	
HES5	
TNFRSF14	
HVEM	
TR2	
ACTRT2	
ARPT2	
ARPM2	
PRDM16	Autosomal dominant
MEL1	Autosomal dominant
LVNC8	Autosomal dominant
CMD1LL	Autosomal dominant
PRDM16	Autosomal dominant
MEL1	Autosomal dominant
LVNC8	Autosomal dominant
CMD1LL	Autosomal dominant
MEGF6	
EGFL3	
MIR551A	
TPRG1L	
FAM79A	
WDR8	
TP73	
SMIM1	Autosomal recessive
VEL	Autosomal recessive
CEP104	Autosomal recessive
GLYBP	Autosomal recessive
KIAA0562	Autosomal recessive
JBTS25	Autosomal recessive
DFFB	
CAD	
DFF2	
AJAP1	
SHREW1	
DFNB96	Autosomal recessive
NPHP4	Autosomal recessive
SLSN4	Autosomal recessive
NPHP4	Autosomal recessive
SLSN4	Autosomal recessive
KCNAB2	
KCNA2B	
CHD5	
RPL22	
EAP	
ICMT	
HES3	
GPR153	
ACOT7	
BACH	
LACH	
HES2	
ESPN	
ESPN	
TNFRSF25	
TNFRSF12	
DR3	
LARD	
PLEKHG5	Autosomal recessive
KIAA0720	Autosomal recessive
DSMA4	Autosomal recessive
CMTRIC	Autosomal recessive
PLEKHG5	Autosomal recessive
KIAA0720	Autosomal recessive
DSMA4	Autosomal recessive
CMTRIC	Autosomal recessive
TAS1R1	
T1R1	
ZBTB48	
HKR3	
KLHL21	
KIAA0469	
THAP3	
DNAJC11	
CAMTA1	Autosomal dominant
KIAA0833	Autosomal dominant
