ALDH2	 None
ALDH2	 None
CHRM3	 Autosomal recessive 
 EGBRS	 Autosomal recessive 
ARHGAP31	 Autosomal dominant 
 CDGAP	 Autosomal dominant 
 KIAA1204	 Autosomal dominant 
 AOS1	 Autosomal dominant 
CHRNA1	 Autosomal recessive
 ACHRD	 Autosomal recessive
 CMS1B	 Autosomal recessive
 CMS1A	 Autosomal recessive
FGFR3	 Autosomal dominant 
 ACH	 Autosomal dominant 
NF2	 Autosomal dominant 
FGFR2	 Autosomal dominant 
 BEK	 Autosomal dominant 
 CFD1	 Autosomal dominant 
 JWS	 Autosomal dominant 
 TK14	 Autosomal dominant 
 BBDS	 Autosomal dominant 
TWIST1	 Autosomal dominant 
 ACS3	 Autosomal dominant 
 SCS	 Autosomal dominant 
 CRS1	 Autosomal dominant 
TWIST1	 Autosomal dominant 
 ACS3	 Autosomal dominant 
 SCS	 Autosomal dominant 
 CRS1	 Autosomal dominant 
FGFR2	 Autosomal dominant 
 BEK	 Autosomal dominant 
 CFD1	 Autosomal dominant 
 JWS	 Autosomal dominant 
 TK14	 Autosomal dominant 
 BBDS	 Autosomal dominant 
FGFR1	 Autosomal dominant 
 FLT2	 Autosomal dominant 
 OGD	 Autosomal dominant 
 KAL2	 Autosomal dominant 
 HH2	 Autosomal dominant 
 HRTFDS	 Autosomal dominant 
FGFR2	 Autosomal dominant 
 BEK	 Autosomal dominant 
 CFD1	 Autosomal dominant 
 JWS	 Autosomal dominant 
 TK14	 Autosomal dominant 
 BBDS	 Autosomal dominant 
FGFR2	 Autosomal dominant 
 BEK	 Autosomal dominant 
 CFD1	 Autosomal dominant 
 JWS	 Autosomal dominant 
 TK14	 Autosomal dominant 
 BBDS	 Autosomal dominant 
PRKAR1A	 Autosomal dominant 
 TSE1	 Autosomal dominant 
 CNC1	 Autosomal dominant 
 CAR	 Autosomal dominant 
 PPNAD1	 Autosomal dominant 
 ACRDYS1	 Autosomal dominant 
ATP2A2	 Autosomal dominant 
 ATP2B	 Autosomal dominant 
 DAR	 Autosomal dominant 
AIP	 Autosomal dominant; Somatic mutation 
 XAP2	 Autosomal dominant; Somatic mutation 
 ARA9	 Autosomal dominant; Somatic mutation 
GNAS	 None 
 GNAS1	 None 
 GPSA	 None 
 POH	 None 
 PHP1B	 None 
 PHP1A	 None 
 AHO	 None 
 PHP1C	 None 
FBN1	 Autosomal dominant 
 MFS1	 Autosomal dominant 
 WMS2	 Autosomal dominant 
 SSKS	 Autosomal dominant 
 GPHYSD2	 Autosomal dominant 
 ACMICD	 Autosomal dominant 
 ECTOL1	 Autosomal dominant 
